customernumber,customername,denom,paytableseries,year,month,beginfootprint,deltaptcount,trainset,gamesPlayed,ActualWin,TheoWin,MachineDays,GamesPlayedAdj,ActualWinAdj,TheoWinAdj
7CLA002,7 Clans - Chilocco,$1.00,M37WAP,2015,11,2,0,CTRL,79189,5567.44,8593.36862416,60,125594.309694,2879.04736971,8793.9233777
7CLA002,7 Clans - Chilocco,$1.00,M38WAP,2015,11,4,0,CTRL,272876,33941.15,30416.5919183,120,424494.880212,36115.930913,30745.3035191
7CLA002,7 Clans - Chilocco,$1.00,M4,2015,11,25,0,CTRL,989289,67163,78430.727712,683,1436583.9798,71473.1178514,77725.2520125
7CLA002,7 Clans - Chilocco,$1.00,M1,2015,12,18,0,CTRL,463917,41194.24,38127.6300879,445,560279.363284,33944.4838536,36471.4154748
7CLA002,7 Clans - Chilocco,$1.00,M37WAP,2015,12,2,0,CTRL,77818,1820.52,8650.52530165,62,89621.6797858,3162.00310551,8105.71993037
7CLA002,7 Clans - Chilocco,$1.00,M38WAP,2015,12,4,0,CTRL,308396,22061.88,34203.5326348,124,419465.926075,20044.235227,33877.1723563
7CLA002,7 Clans - Chilocco,$1.00,M4,2015,12,25,0,CTRL,1036584,101792.54,83086.5797475,684,1264056.51785,103896.340943,79641.5116578
7CLA002,7 Clans - Chilocco,$1.00,M1,2016,1,18,0,CTRL,488911,34227.55,40628.1387047,436,510364.526356,33750.0266635,36861.3069226
7CLA002,7 Clans - Chilocco,$1.00,M37WAP,2016,1,2,0,CTRL,65717,7351.6,7194.72830558,62,67891.8328052,7364.20072158,6515.36926076
7CLA002,7 Clans - Chilocco,$1.00,M38WAP,2016,1,4,0,CTRL,287171,36606.25,32935.0732944,124,374043.285949,33192.6717074,31975.6951661
