customernumber,customername,year,month,beginfootprint,deltaptcount,trainset,GamesPlayed,ActualWin,TheoWin,MachineDays,AdjGamesPlayed,AdjActualWin,AdjTheoWin,AdjMachineDays,PriorUtil,PriorWPUPD,PriorTheoWPUPD,PostUtil,PostWPUPD,PostTheoWPUPD,PriorAdjUtil,PriorAdjWPUPD,PriorAdjTheoWPUPD,PostAdjUtil,PostAdjWPUPD,PostAdjTheoWPUPD
CONF002,Gray Wolf Peaks Casino,2014,6,11,0,CTRL,533206,47926.9,30576.618822,351,743480.773709,54947.7931526,35055.8397547,0,0.118836090686,109.903492647,105.437166544,0.110035214038,113.1996695,88.3305283823,0.121808910606,98.4034669332,88.5603517009,0.123148615868,112.64208074,85.8935062314
CONF002,Gray Wolf Peaks Casino,2014,7,11,0,CTRL,544915,41869.75,30005.5074436,360,632768.616812,38493.8813238,27586.2273501,0,0.120856414724,131.324765681,105.969262016,0.122453994735,108.912330754,99.9997797203,0.141348141314,129.768044048,100.894965306,0.169634214147,107.711202098,99.297117159
CONF002,Gray Wolf Peaks Casino,2014,8,11,-1,TRMT,599872,30081.8,32959.9032913,348,594474.431527,25846.2890276,28319.1559943,0,0.116810533652,124.721039427,99.8355171448,0.134935923907,155.327948464,122.784536352,0.13116749445,116.823408467,90.0936868497,0.114821675078,127.477983511,106.864131295
CONF002,Gray Wolf Peaks Casino,2014,9,10,0,TRAIN,678504,40663.8,40434.3614959,326,1004727.55414,47033.2126183,46767.835798,0,0.115089936248,114.667070563,96.9169300823,0.13049382716,178.96941896,125.92373094,0.12042242004,102.063327802,82.468766193,0.163026416414,149.547280654,110.884580313
CONF002,Gray Wolf Peaks Casino,2014,10,10,0,CTRL,682189,85980.3,50495.3323915,335,538373.362803,55745.7837165,32738.9166843,0,0.118155685921,115.914981949,96.7338563558,0.118608993902,191.614583333,112.712979585,0.149190301654,120.087491785,99.4433638246,0.117071013482,152.287950481,89.4575656572
CONF002,Gray Wolf Peaks Casino,2014,11,10,0,CTRL,482715,48924.9,32601.4861649,320,537970.66246,43926.885987,29271.0208048,0,0.127093985878,145.066216216,112.41424735,0.113241381766,127.867589744,94.233507111,0.140529581876,122.073898237,98.9131744534,0.0892145537847,108.884293874,74.3079584904
CONF002,Gray Wolf Peaks Casino,2014,12,10,0,CTRL,515738,53643.55,27812.7533548,329,578767.440533,50178.6735702,26016.3071176,0,0.127669091213,154.741008277,117.751003268,0.126334674128,136.031322141,95.3530365392,0.139805723337,129.836095823,103.157960332,0.107513598551,100.855362419,66.1511416601
CONF002,Gray Wolf Peaks Casino,2015,1,10,0,CTRL,591456,22102.45,31463.4299135,326,381735.673165,12056.6269701,17162.9316057,0,0.125060750636,174.971412214,115.529720158,0.138976623528,162.658761805,112.543109926,0.141000796222,150.293554116,102.896244584,0.153533930517,129.487556812,84.3140534601
CONF002,Gray Wolf Peaks Casino,2015,2,10,0,CTRL,626522,53891.85,31595.2605536,298,461239.206119,33879.8598447,19862.7992788,0,0.120446246819,160.802442748,108.681680782,0.147425579323,207.859625668,114.253164274,0.107975357239,123.593870415,80.2970810781,0.151130776446,177.753960126,97.2188554573
CONF002,Gray Wolf Peaks Casino,2015,3,10,0,CTRL,689226,79019.5,44194.893292,329,903730.09512,77465.1548272,43325.562063,0,0.120910305927,140.269245876,96.9936606338,0.151895272602,168.143426501,123.689930704,0.106905875353,110.009462979,72.5161498876,0.167997076062,155.083932994,110.008875152
